Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
1,note_on,62,D4,0.6299212598425197,0.14124976458333194,28.049953249999998
2,note_on,50,D3,0.6299212598425197,0.14124976458333194,28.049953249999998
1,note_on,58,A#3,0.6299212598425197,0.14124976458333194,28.199952999999997
2,note_on,48,C3,0.6299212598425197,0.2837495270833372,28.199952999999997
1,note_on,62,D4,0.6299212598425197,0.1412497645833355,28.349952749999996
1,note_on,60,C4,0.6299212598425197,0.14124976458333194,28.50
2,note_on,50,D3,0.6299212598425197,0.2837495270833337,28.50
1,note_on,62,D4,0.6299212598425197,0.14124976458333194,28.65
1,note_on,67,G4,0.6299212598425197,0.14124976458333194,28.799951999999998
2,note_on,39,D#2,0.6299212598425197,0.42624928958333186,28.799951999999998
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,28.949951749999997
1,note_on,62,D4,0.6299212598425197,0.1412497645833355,29.099951499999996
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,29.25
2,note_on,55,G3,0.6299212598425197,0.14124976458333194,29.25
1,note_on,58,A#3,0.6299212598425197,0.14124976458333194,29.399950999999998
2,note_on,53,F3,0.6299212598425197,0.2837495270833337,29.399950999999998
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,29.549950749999997
1,note_on,62,D4,0.6299212598425197,0.1412497645833355,29.699950499999996
2,note_on,55,G3,0.6299212598425197,0.2837495270833372,29.699950499999996
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,29.85
1,note_on,67,G4,0.6299212598425197,0.14124976458333194,30.00
2,note_on,39,D#2,0.6299212598425197,0.42624928958333186,30.00
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,30.149949749999998
1,note_on,62,D4,0.6299212598425197,0.14124976458333194,30.299949499999997
1,note_on,63,D#4,0.6299212598425197,0.1412497645833355,30.449949249999996
2,note_on,55,G3,0.6299212598425197,0.1412497645833355,30.449949249999996
1,note_on,58,A#3,0.6299212598425197,0.14124976458333194,30.60
2,note_on,53,F3,0.6299212598425197,0.2837495270833337,30.60
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,30.749948749999998
1,note_on,62,D4,0.6299212598425197,0.14124976458333194,30.899948499999997
2,note_on,55,G3,0.6299212598425197,0.2837495270833372,30.899948499999997
1,note_on,63,D#4,0.6299212598425197,0.1412497645833355,31.049948249999996
1,note_on,69,A4,0.6299212598425197,0.14124976458333194,31.20
2,note_on,45,A2,0.6299212598425197,0.42624928958333186,31.20
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,31.35
1,note_on,62,D4,0.6299212598425197,0.14124976458333194,31.499947499999998
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,31.649947249999997
2,note_on,60,C4,0.6299212598425197,0.14124976458333194,31.649947249999997
1,note_on,60,C4,0.6299212598425197,0.1412497645833355,31.799946999999996
2,note_on,58,A#3,0.6299212598425197,0.2837495270833372,31.799946999999996
1,note_on,63,D#4,0.6299212598425197,0.14124976458333194,31.95
1,note_on,62,D4,0.6299212598425197,0.1412497645833355,32.099946499999994
2,note_on,60,C4,0.6299212598425197,0.2837495270833372,32.099946499999994
1,note_on,63,D#4,0.6299212598425197,0.14124976458332839,32.25
1,note_on,69,A4,0.6299212598425197,0.14124976458332839,32.40
2,note_on,45,A2,0.6299212598425197,0.42624928958333186,32.40
1,note_on,63,D#4,0.6299212598425197,0.14124976458332839,32.55
1,note_on,62,D4,0.6299212598425197,0.14124976458332839,32.70
1,note_on,63,D#4,0.6299212598425197,0.1412497645833355,32.85
2,note_on,60,C4,0.6299212598425197,0.1412497645833355,32.85
1,note_on,60,C4,0.6299212598425197,0.1412497645833355,33.00
2,note_on,58,A#3,0.6299212598425197,0.2837495270833372,33.00
1,note_on,63,D#4,0.6299212598425197,0.1412497645833355,33.149944749999996
1,note_on,62,D4,0.6299212598425197,0.1412497645833355,33.299944499999995
2,note_on,60,C4,0.6299212598425197,0.2837495270833372,33.299944499999995
1,note_on,63,D#4,0.6299212598425197,0.1412497645833355,33.449944249999994
1,note_on,69,A4,0.6299212598425197,0.1412497645833355,33.599943999999994
2,note_on,38,D2,0.6299212598425197,0.42624928958333896,33.599943999999994
1,note_on,67,G4,0.6299212598425197,0.14124976458332839,33.75
1,note_on,66,F#4,0.6299212598425197,0.14124976458332839,33.90
1,note_on,67,G4,0.6299212598425197,0.14124976458332839,34.05
2,note_on,54,F#3,0.6299212598425197,0.14124976458332839,34.05
1,note_on,62,D4,0.6299212598425197,0.1412497645833355,34.20
2,note_on,52,E3,0.6299212598425197,0.2837495270833372,34.20
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,34.35
1,note_on,66,F#4,0.6299212598425197,0.1412497645833355,34.499942499999996
2,note_on,54,F#3,0.6299212598425197,0.2837495270833372,34.499942499999996
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,34.649942249999995
1,note_on,69,A4,0.6299212598425197,0.1412497645833355,34.799941999999994
2,note_on,38,D2,0.6299212598425197,0.42624928958333896,34.799941999999994
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,34.949941749999994
1,note_on,66,F#4,0.6299212598425197,0.14124976458332839,35.10
1,note_on,67,G4,0.6299212598425197,0.14124976458332839,35.25
2,note_on,54,F#3,0.6299212598425197,0.14124976458332839,35.25
1,note_on,62,D4,0.6299212598425197,0.14124976458332839,35.40
2,note_on,52,E3,0.6299212598425197,0.2837495270833372,35.40
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,35.55
1,note_on,66,F#4,0.6299212598425197,0.1412497645833355,35.70
2,note_on,54,F#3,0.6299212598425197,0.2837495270833372,35.70
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,35.849940249999996
1,note_on,70,A#4,0.6299212598425197,0.1412497645833355,35.999939999999995
2,note_on,43,G2,0.6299212598425197,0.42624928958333186,35.999939999999995
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,36.149939749999994
1,note_on,66,F#4,0.6299212598425197,0.1412497645833355,36.299939499999994
1,note_on,67,G4,0.6299212598425197,0.14124976458332839,36.45
2,note_on,50,D3,0.6299212598425197,0.14124976458332839,36.45
1,note_on,71,B4,0.6299212598425197,0.14124976458332839,36.60
2,note_on,55,G3,0.6299212598425197,0.5687490520833265,36.60
2,note_on,59,B3,0.6299212598425197,0.5687490520833265,36.60
1,note_on,67,G4,0.6299212598425197,0.14124976458332839,36.75
1,note_on,65,F4,0.6299212598425197,0.1412497645833355,36.90
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,37.05
1,note_on,72,C5,0.6299212598425197,0.1412497645833355,37.199937999999996
2,note_on,43,G2,0.6299212598425197,0.42624928958333186,37.199937999999996
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,37.349937749999995
1,note_on,65,F4,0.6299212598425197,0.1412497645833355,37.499937499999994
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,37.649937249999994
2,note_on,50,D3,0.6299212598425197,0.1412497645833355,37.649937249999994
1,note_on,74,D5,0.6299212598425197,0.14124976458332839,37.80
2,note_on,55,G3,0.6299212598425197,0.5687490520833265,37.80
2,note_on,59,B3,0.6299212598425197,0.5687490520833265,37.80
1,note_on,67,G4,0.6299212598425197,0.14124976458332839,37.95
1,note_on,65,F4,0.6299212598425197,0.14124976458332839,38.10
1,note_on,67,G4,0.6299212598425197,0.1412497645833355,38.25
1,note_on,75,D#5,0.6299212598425197,0.1412497645833355,38.40
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,38.40
1,note_on,74,D5,0.6299212598425197,0.1412497645833355,38.549935749999996
1,note_on,72,C5,0.6299212598425197,0.1412497645833355,38.699935499999995
2,note_on,55,G3,0.6299212598425197,0.2837495270833301,38.699935499999995
1,note_on,74,D5,0.6299212598425197,0.1412497645833355,38.849935249999994
1,note_on,75,D#5,0.6299212598425197,0.2837495270833372,38.999934999999994
2,note_on,63,D#4,0.6299212598425197,0.1412497645833355,38.999934999999994
2,note_on,62,D4,0.6299212598425197,0.14124976458332839,39.15
1,note_on,67,G4,0.6299212598425197,0.2837495270833301,39.30
2,note_on,60,C4,0.6299212598425197,0.14124976458332839,39.30
2,note_on,55,G3,0.6299212598425197,0.14124976458332839,39.45
1,note_on,68,G#4,0.6299212598425197,0.2837495270833301,39.60
2,note_on,41,F2,0.6299212598425197,0.2837495270833301,39.60
